time,load_average_1min,load_average_5min,load_average_15min,total_tasks,running_tasks,sleeping_tasks,cpu_user,cpu_system,cpu_nice,cpu_idle,cpu_wait,cpu_si,memory_total,memory_free,memory_used,memory_buff,vm_total,vm_free,vm_used,memory_available,captured_packets,multilabel
62169,4.38,75.16,205.57,21,1,20,100,0,0,0,0,0,7957.8,1053.5,2873,4031.2,947.2,947.2,0,4766.5,0,normal
1933,3.58,3.18,3.03,21,1,20,100,0,0,0,0,0,7957.8,832.8,2657,4468,947.2,947.2,0,4991.2,0,normal
4510,3.31,3.41,3.36,21,1,20,100,0,0,0,0,0,7957.8,646,2752,4559.8,947.2,947.2,0,4896.1,0,normal
69229,4.18,62.32,58.69,21,2,19,100,0,0,0,0,0,7957.8,1004.6,2620.4,4332.8,947.2,947.2,0,5008.7,0,normal
1962,3.44,3.18,3.03,21,1,20,91.7,8.3,0,0,0,0,7957.8,833.3,2656.4,4468.1,947.2,947.2,0,4991.8,0,normal
4349,3.47,3.49,3.39,21,1,20,100,0,0,0,0,0,7957.8,648.8,2749.9,4559.1,947.2,947.2,0,4898.3,0,normal
71224,3.23,3.17,9.46,21,4,17,100,0,0,0,0,0,7957.8,915,2706.5,4336.3,947.2,947.2,0,4922.6,0,normal
77238,4.19,3.15,1.64,21,1,20,100,0,0,0,0,0,7957.8,1421.3,2105.6,4430.8,947.2,947.2,0,5542.3,1,normal
63322,2.91,4.34,61.54,21,1,20,100,0,0,0,0,0,7957.8,726.8,3197.2,4033.8,947.2,947.2,0,4442.7,0,normal
77612,3.65,3.4,2.25,21,1,20,100,0,0,0,0,0,7957.8,1150.8,2375.3,4431.7,947.2,947.2,0,5272.6,0,normal
71310,2.21,2.86,8.79,21,1,20,100,0,0,0,0,0,7957.8,914.3,2707,4336.4,947.2,947.2,0,4922.1,0,normal
38064,14.27,9.4,7.1,21,1,20,100,0,0,0,0,0,7957.8,451.1,3937.9,3568.7,947.2,946.5,0.8,3704,0,normal
35147,2.37,2.91,3.04,21,1,20,100,0,0,0,0,0,7957.8,118.2,3196.6,4642.9,947.2,947,0.3,4445.3,0,normal
78116,2.38,3.05,2.62,21,2,19,100,0,0,0,0,0,7957.8,1076,2448.9,4432.9,947.2,947.2,0,5199,0,normal
68937,88.86,159.92,79.22,21,1,20,100,0,0,0,0,0,7957.8,1129.8,2495.6,4332.3,947.2,947.2,0,5133.4,0,normal
70344,1.93,4.1,19.56,21,2,19,83.3,16.7,0,0,0,0,7957.8,986.1,2636.7,4334.9,947.2,947.2,0,4992.3,0,normal
30836,3.54,3.7,3.51,21,1,20,2,2,0,96.1,0,0,7957.8,165.1,3002.1,4790.6,947.2,947,0.3,4639.8,34,normal
62469,3.74,29.52,149.65,21,1,20,75,25,0,0,0,0,7957.8,1051.1,2874.9,4031.8,947.2,947.2,0,4764.6,0,normal
85641,3.06,3.18,3.08,21,1,20,100,0,0,0,0,0,7957.8,842.2,2652.2,4463.3,947.2,947.2,0,4995.9,0,normal
65066,3.46,3.2,11.95,21,1,20,100,0,0,0,0,0,7957.8,578,3343.2,4036.5,947.2,947.2,0,4297,0,normal
36394,3.29,5.96,5.79,21,2,19,87.5,0,0,0,0,12.5,7957.8,341.7,3412.2,4203.8,947.2,946.7,0.5,4229.6,0,normal
6191,3.49,3.12,3.07,21,1,20,100,0,0,0,0,0,7957.8,670.1,2752.7,4534.9,947.2,947.2,0,4895.4,0,normal
38324,7.62,7.96,6.99,21,1,20,88.2,11.8,0,0,0,0,7957.8,438.6,3943.4,3575.8,947.2,946.5,0.8,3698.5,0,normal
75134,3.3,2.89,2.99,21,1,20,100,0,0,0,0,0,7957.8,251.3,3009,4697.5,947.2,947.2,0,4620.4,0,normal
6734,3.48,3.32,3.15,21,1,20,100,0,0,0,0,0,7957.8,667.4,2754.3,4536,947.2,947.2,0,4893.8,0,normal
72480,2.53,3.11,4.86,21,1,20,100,0,0,0,0,0,7957.8,579,2862.7,4516.1,947.2,947.2,0,4766.7,0,normal
3113,3.33,3.35,3.17,21,1,20,4.3,0,0,95.7,0,0,7957.8,623.1,2745.7,4588.9,947.2,947.2,0,4902.4,0,normal
2200,2.46,2.92,2.96,21,2,19,100,0,0,0,0,0,7957.8,832.8,2656.5,4468.5,947.2,947.2,0,4991.7,0,normal
85427,2.83,3.08,3.02,21,1,20,100,0,0,0,0,0,7957.8,842.4,2652.3,4463,947.2,947.2,0,4995.8,0,normal
35847,22.93,12.05,6.38,21,4,17,0,0,0,100,0,0,7957.8,522.8,3348.4,4086.5,947.2,946.7,0.5,4293.4,541,dos
